Hyperparameters,Avg Win Count,Min Win Count,Max Win Count,Std Win Count,Avg L2 Loss,Min L2 Loss,Max L2 Loss,Std L2 Loss,Best Agent
"(10, 0.25, 0, 0.05, 0.15)",122.5,118.0,128.0,3.3241540277189325,792.8444299999999,763.7838999999998,835.4218999999999,21.468815605666318,"[ 0.86414551 -0.20879745 -0.18047481 -0.84730032 -0.27142924 -0.00612313
 -0.99657295  0.63114541  0.90832484  0.77473689  0.74205689 -0.14075153
  0.7457063   0.75600376 -0.06093791  0.31580397 -0.68334707  0.02706327
  0.238714   -0.2372     -0.41437683  0.70781293  0.95586702 -0.48596625
 -0.13105441 -0.90479694 -0.41198351 -0.3182694  -0.37570817 -0.16666292
  0.34266469  0.91772105 -0.16591469  0.8197741   0.48167099  0.73579456
 -0.31986351  0.75650622  0.17650977 -0.42924391  0.91493577 -0.13777183
  0.25913101  0.69089974  0.24717164  0.41270585 -0.49162211 -0.74600344
  0.85640671 -0.71155903  0.76989336  0.24201461  0.35982119 -0.97027259
  0.23531742  0.12060558  0.61323797  0.65002986  0.00185158  0.0327579
 -0.51094327 -0.01465437 -0.2666518   0.00317009 -0.19410475 -0.00454573
 -0.42623058  0.70531998  0.44953758  0.85989871  0.82236288 -0.09453109
 -0.29316122  0.27667    -0.23585998  0.00857848 -0.71173118 -0.18082392
  0.38650986 -0.24322677  0.11462539  0.15449663 -0.25556181  0.29833281
 -0.10615529  0.39713082  0.96789543  0.30072174  0.28656093  0.68467865
  0.03657829 -0.69556711 -0.89494388 -0.24946889  0.52477966  0.81279808
  0.61168785 -0.22000103 -0.43028238  0.03457287  0.49812777  0.16646449
  0.98716502  0.76416244 -0.78694327  0.11235825 -0.15915266  0.76800065
 -0.29272364  0.25283237 -0.04933344  0.14350866 -0.47819178  0.14057012
  0.85071359  0.96841256  0.38261093 -0.34619929 -0.2402176   0.8682013
  0.21820068 -0.62975313 -0.31531277 -0.64109331 -0.66168943 -0.39504912
  0.2152012   0.30223517 -0.02078549  0.4860652   0.9958932   0.71474002
  0.74435153  0.14225114 -0.09535859 -0.36914816 -0.26064017  0.94757647
  0.31749891 -0.06510117 -0.05249026  0.48797729  0.50442826  0.99604025
 -0.44843688  0.00281057  0.51132709 -0.40698473  0.64998202 -0.27742946
 -0.56190577]"
"(10, 0.25, 0, 0.15, 0.05)",100.3,91.0,108.0,5.8999999999999995,4351.555240000001,4071.6213999999995,4709.250599999999,178.84818784927157,"[-0.32930502  0.61066772  0.89927716  0.74881994 -0.87503399 -0.15664156
  0.37717248 -0.87986556  0.62033286 -0.19777506 -0.04821544  0.08225137
 -0.12940126  0.96949001 -0.84105248 -0.35296697 -0.23431923 -0.76687532
 -0.2298566  -0.96893601 -0.05840644  0.57014498  0.20542069 -0.92196287
  0.93270964  0.52432914 -0.18801259  0.94275819  0.02463793 -0.57544857
  0.0870685   0.76937851 -0.66050782 -0.95686864  0.27333703  0.24113771
 -0.75910421 -0.7992191  -0.85960513  0.77169774  0.88777742  0.87582289
 -0.81756814 -0.79832146  0.08988402 -0.85000756 -0.73898159 -0.81749892
  0.18642326 -0.56708574  0.62213552 -0.23046263 -0.75571386  0.02718501
  0.96987208  0.51980832 -0.71971119  0.38000237  0.37193128 -0.13950444
 -0.86659175  0.56657443 -0.67659182 -0.83235828  0.28484264  0.12516476
  0.70025398 -0.07469021 -0.70783576  0.22268666  0.46099748 -0.80756562
 -0.6031435   0.32430577  0.77643956  0.41558584 -0.27071568  0.47305677
  0.53437026 -0.03032825 -0.35203185  0.4964373   0.38263578  0.26860874
  0.89055029  0.46150775  0.74745168  0.64922788 -0.56303072 -0.98412447
  0.98938457  0.16886833  0.90061438  0.71739609  0.97277878 -0.4711894
 -0.34122502  0.60097674  0.63137523  0.01398999  0.69223012 -0.63502944
 -0.10212793  0.20834334  0.9163802   0.7859097  -0.69207813  0.50808053
 -0.215762   -0.7610778   0.71598905  0.28562392 -0.29992466  0.26268521
  0.83474765 -0.93666322  0.1619112   0.21632206  0.55368569 -0.96311602
 -0.47280734  0.52950542 -0.24505197 -0.85762956  0.68396368 -0.62823823
  0.07007019 -0.22052029 -0.19937891 -0.50779088  0.57245576  0.3520616
  0.40820315  0.32892614  0.77898202  0.28685404 -0.86915223 -0.20846888
 -0.31595165 -0.34742739 -0.60595574 -0.53248565 -0.60137925  0.88453756
  0.15852734 -0.9143579  -0.43792494 -0.42783511 -0.24380731  0.55071967
 -0.78851065]"
"(10, 0.25, 1, 0.05, 0.15)",89.3,87.0,91.0,1.3453624047073711,2447.8605599999996,2285.6265999999996,2654.7237999999993,115.0489436293719,"[ 0.86201376 -0.94045861 -0.93022954 -0.60453562  0.6709477   0.02943992
 -0.37644297 -0.46903444  0.61850602 -0.22132695 -0.65699881  0.42598821
 -0.72876717 -0.33153703  0.43476747 -0.97750162  0.2559852  -0.37770912
  0.00270478 -0.93394553  0.41983029 -0.36717204 -0.62453786  0.40847647
 -0.38320684  0.57963384  0.67997456 -0.96291014 -0.93290089 -0.76960879
  0.26647294 -0.12034203  0.92079604 -0.53920923  0.55712508 -0.38602334
  0.55943774 -0.88820193  0.89645774  0.32845116  0.22333062  0.38813407
 -0.0311949  -0.57540115  0.17510008  0.211265   -0.81393985  0.45837752
  0.82320257  0.33067256  0.83891976 -0.58499712 -0.70877635  0.52310759
  0.70390895  0.41098175 -0.53451636  0.09371156  0.93645998 -0.32208824
 -0.52181105  0.02839685 -0.19022974 -0.07924681  0.42094129 -0.78607404
  0.30602699 -0.40477531 -0.13397166  0.01312894  0.39106531 -0.16665325
  0.46383965  0.89656126  0.05971383  0.59938027  0.59899072 -0.81029425
 -0.5438332  -0.51278397 -0.30426083  0.07776035 -0.10120107 -0.2967822
  0.43506379 -0.13848394 -0.86184584 -0.41978587 -0.74491193 -0.80575183
  0.0449983   0.11964501 -0.22707799 -0.39593763  0.95311337  0.89295521
 -0.39491644  0.08308219 -0.66495478 -0.50302832  0.45214262 -0.80635183
 -0.91664435  0.0638941   0.53099509 -0.95240753 -0.91685464 -0.76488965
  0.66882052  0.88003241  0.64615788  0.54571473 -0.55912394 -0.65379146
  0.11853847 -0.15794827  0.93250893  0.89181731  0.091039    0.34651309
  0.83970296  0.30222609 -0.6620579  -0.87033472  0.46002686 -0.97330255
 -0.79338873  0.807565   -0.59117572  0.85927748  0.49992963  0.42518894
 -0.22411921 -0.51010795  0.93694185  0.87369851 -0.43942905 -0.72261548
  0.96087933  0.6335899  -0.49362677 -0.23698987 -0.08308224  0.74113854
 -0.54820481  0.41264734  0.06951064 -0.6976711   0.9104063  -0.09726505
 -0.84988581]"
"(10, 0.25, 1, 0.15, 0.05)",63.0,57.0,72.0,5.176871642217914,2694.06124,2571.0758999999994,2839.2006000000006,78.39963023786802,"[-0.05872214 -0.12878449 -0.32635749  0.75860828  0.86242042  0.28681362
  0.74739192  0.33675221  0.65153528  0.26862756  0.27174979 -0.18858137
 -0.31846289 -0.6769499  -0.15633441 -0.47442063 -0.97549965  0.24628729
 -0.15333954  0.21697243 -0.6678712   0.57680064 -0.32602119 -0.29210304
  0.57499793  0.72755215  0.74420129 -0.58148639  0.65070216 -0.67421508
  0.00108852  0.54954365 -0.87805189  0.03023798  0.88652387 -0.40866328
 -0.05774025  0.77472787  0.10462668 -0.59890002  0.97746882  0.15017897
 -0.30123679  0.17716532 -0.93493883  0.58342275  0.26686676 -0.87167499
  0.67595833 -0.29847415  0.64849382  0.45242707 -0.93777187  0.83078424
 -0.07278292 -0.06717919  0.66830068  0.52633432  0.61349511 -0.85477086
 -0.0323882  -0.8313053  -0.47444662  0.26056446  0.35984982 -0.99153969
 -0.68676538  0.25256579 -0.86842657  0.71313721  0.42716149 -0.45889518
 -0.69047743  0.83653336 -0.9799107  -0.58474997  0.71517028 -0.04634491
 -0.37681136  0.05963521 -0.39634739 -0.37841194  0.23814748 -0.04599264
  0.76724125 -0.23724853 -0.88310325  0.95449459  0.18919888  0.83938506
 -0.57879859 -0.03196176 -0.7919371  -0.96466993  0.95321927 -0.90227155
  0.86242852 -0.50021564  0.64782602 -0.48627304 -0.81079418  0.68144431
  0.67609233 -0.86377426  0.2160429   0.7031743   0.59511791  0.92050513
 -0.0651796  -0.82003306 -0.55928812 -0.69676467 -0.15076195  0.06770248
 -0.54255491 -0.87118361  0.21124173  0.84340226  0.04814984  0.76423718
 -0.69377365 -0.94890113  0.67488391 -0.16335776 -0.05838541 -0.58393652
 -0.2588169  -0.66487523  0.91297476 -0.76274775  0.45661257  0.41807833
 -0.8690686  -0.13303909  0.97233694 -0.90599873  0.31743603  0.70089144
 -0.55139486 -0.36225902  0.62426698 -0.70660074 -0.10453594 -0.57831789
 -0.977514    0.82668211  0.78003449  0.29528352 -0.09553078 -0.80545135
 -0.95017519]"
"(10, 0.5, 0, 0.05, 0.15)",77.5,71.0,82.0,2.8722813232690143,4719.59741,4258.689099999999,5091.651,284.7799031291411,"[ 0.23782601 -0.22670159 -0.65393818  0.79129078  0.47628079 -0.82118319
  0.33647179 -0.32024037  0.77581131  0.59357157  0.89944629 -0.10772547
  0.94745292 -0.09366282 -0.38348272  0.99457215  0.94972059 -0.95948121
 -0.89418645 -0.0758304  -0.17759708 -0.12296405  0.45957931  0.87928257
  0.12757503 -0.70230332  0.97669876  0.47579512 -0.48846797  0.86294855
  0.38466964 -0.50866703  0.69146189  0.45312936  0.61951224  0.69757378
 -0.48516881 -0.16493815 -0.56309288 -0.69109031 -0.40435155  0.70088334
  0.90426305 -0.93885027 -0.440063   -0.70840553  0.92798294  0.74509729
  0.2632036   0.90015245 -0.98124117 -0.79739748 -0.08792539  0.71208623
  0.35181022 -0.28707974  0.609711   -0.43450027  0.25225695 -0.19351772
  0.1622737  -0.55313358 -0.81933841 -0.13698364  0.19210658  0.22816325
 -0.63870055 -0.06895304  0.24223717  0.74909549  0.5461585  -0.07983614
 -0.53905237 -0.43574241  0.760656   -0.64052764 -0.81034867  0.38538428
  0.95737014  0.33030275 -0.79194026  0.57110035  0.20680537 -0.05379769
 -0.32633682  0.98076234  0.68157621  0.60224256  0.26954141 -0.0734167
  0.90065021  0.92429711 -0.90232637 -0.26001313 -0.60835741  0.12781818
  0.8387689  -0.42132678  0.72764804  0.93281082 -0.24919953  0.12978683
 -0.32368985  0.36845638 -0.23665804  0.71489108 -0.20682632 -0.61726768
 -0.97674597  0.78105589 -0.59930012 -0.90538814  0.95035203  0.42903782
  0.8161347  -0.75452009  0.18274924  0.22593959 -0.95102626  0.93027367
 -0.61408748  0.77233285 -0.45929013 -0.47136816  0.57510606  0.13378887
  0.05862127 -0.80109287  0.57402869  0.03313271  0.58202017  0.9995968
 -0.32831188 -0.72128863 -0.56309469 -0.80180823  0.87451671 -0.84110125
 -0.34154346  0.09952613  0.58281122 -0.81308419  0.809586   -0.79594114
 -0.80448173  0.62559605 -0.76054031 -0.98736807  0.41031021 -0.27164694
 -0.99086361]"
"(10, 0.5, 0, 0.15, 0.05)",103.8,96.0,113.0,5.095095681142799,2855.41027,2445.6891000000005,3309.4301000000005,235.65911067849288,"[ 0.63519658 -0.96529677  0.87329015  0.36549288 -0.18087948 -0.78305536
  0.72168659  0.78893108  0.28379814 -0.34179441 -0.44476693  0.5698203
  0.69527304 -0.95851554  0.31444875  0.65317325  0.77175054  0.55134605
  0.85172167  0.83543137 -0.0159104  -0.80729216 -0.55400473  0.74750944
 -0.36520654 -0.74152358  0.05483183 -0.11256422 -0.80989498 -0.66258362
 -0.75319271 -0.84665324  0.12672766 -0.31625035 -0.11192125  0.71424818
  0.91221512 -0.2876578   0.83776402 -0.5143035  -0.8951582   0.22812147
 -0.52463214  0.16037789  0.32801485  0.14215968  0.53140668  0.54647241
 -0.61514208  0.21078956 -0.71670389  0.91043882 -0.81844737  0.4054677
  0.61450105  0.76295195  0.54932413 -0.82169837  0.53172164 -0.37722522
 -0.32535199 -0.81123824 -0.92692917  0.68955854  0.07120765  0.36539604
  0.92144437  0.36424415 -0.8047843   0.63368842 -0.440958    0.26549649
 -0.57838964 -0.68179737 -0.5697198  -0.5303308  -0.23635327  0.45737882
  0.89533859  0.72665086  0.55918331  0.05896805 -0.86098041 -0.04077999
 -0.77160598 -0.41883808  0.62869569  0.34587972  0.78238533  0.62371124
 -0.43745177 -0.69046923  0.53236026 -0.41937119  0.5472405  -0.17571315
  0.95103847  0.13265599  0.56860638  0.93554675 -0.76642858  0.83520173
  0.74863018 -0.10665613  0.10227817  0.82187081  0.88857385  0.30948991
  0.57052574  0.52471966  0.45793735  0.86428664 -0.82422904  0.76254239
 -0.07677356  0.21279354 -0.43260067  0.15049489  0.75797571 -0.99757332
  0.02446743  0.40272525 -0.80181684  0.35062408  0.1885765   0.4619685
  0.2182478  -0.14822688 -0.54829912  0.15983368  0.01518817 -0.20974696
  0.72143667 -0.62619391  0.94571252 -0.49055992 -0.57368674  0.47077879
 -0.53418998  0.43386167  0.46171915 -0.17549372  0.9188067  -0.48845236
 -0.31623521 -0.48345629 -0.96198728  0.35795097  0.78252602 -0.78383188
 -0.92610847]"
"(10, 0.5, 1, 0.05, 0.15)",62.2,58.0,66.0,2.9597297173897488,1840.08203,1676.911,2015.1106999999995,106.65198731987185,"[-0.92954666 -0.7451102  -0.96264656  0.95207155 -0.12062152  0.30232451
  0.87462707 -0.80469262  0.93524643  0.93330821 -0.93754595  0.8012797
  0.87435979 -0.9327464   0.52600186  0.03435634  0.49457547  0.09166239
  0.38054977  0.04593348 -0.43903226  0.37492636  0.45427744 -0.64490707
 -0.13470592  0.35003339  0.91207807  0.98234674 -0.92621702  0.61015032
  0.62269033 -0.90842962 -0.22198624 -0.61183616  0.34686877  0.1112712
 -0.38344541  0.51477961  0.22103434  0.37398474 -0.15118848 -0.44305298
 -0.81319634  0.84449255  0.63042151 -0.31449902 -0.71758181 -0.27167079
 -0.40707589 -0.04380772  0.08962708 -0.22254294  0.52720762 -0.58637974
 -0.59807915 -0.03910527 -0.95305409 -0.99616863 -0.50358308 -0.12547334
 -0.61843992  0.52631182 -0.94749996 -0.71182702 -0.18397351 -0.19233793
 -0.99239669  0.04409436 -0.93165624  0.61744004  0.90432807 -0.93396943
  0.31207041 -0.18500194  0.95559781  0.62116903  0.04117976 -0.90865535
 -0.34425706 -0.37018226 -0.9877935  -0.14242467 -0.65606264  0.52994294
  0.70770969  0.92532584  0.64480935 -0.59908455 -0.87349685 -0.8783323
 -0.49786728  0.76570307 -0.38251516  0.16781156  0.20403241 -0.93689753
 -0.24432403 -0.77901791 -0.02412982  0.86874565 -0.74949256 -0.18203651
 -0.4599091  -0.7494164   0.73203852 -0.03949899 -0.49413845 -0.30213606
 -0.74063856  0.28676699  0.62204346 -0.6397155  -0.9736845   0.06871997
  0.34599901 -0.86565226  0.04343143 -0.71493556 -0.57862059 -0.8755633
 -0.77346603  0.67905195 -0.87049379 -0.95967716 -0.47114158 -0.27857718
  0.60249281  0.80062549 -0.02639536 -0.79905366  0.32113002 -0.90433561
  0.08553968 -0.1558854   0.99617256 -0.80971239 -0.21162558  0.75796965
 -0.52702438  0.75700636  0.24481335 -0.7589813   0.83121254  0.66828898
  0.91060141  0.02669196  0.19070555 -0.36329329  0.26499288 -0.53274607
 -0.79389263]"
"(10, 0.5, 1, 0.15, 0.05)",80.4,73.0,87.0,4.454211490264017,3636.2678700000006,3504.2666,3838.295700000002,116.26899896905543,"[ 0.40712573 -0.31421614 -0.40791203 -0.66008039  0.89902095 -0.92140759
 -0.7604215  -0.1690437   0.12254931  0.75770557  0.72804317  0.83389462
  0.43254403  0.05243644  0.26783818  0.22952673  0.88230999 -0.40163767
  0.4279574  -0.12339645 -0.49702673  0.80669203 -0.1209874  -0.47626721
 -0.46663773  0.75273629  0.14537712  0.54616928 -0.91988656  0.8677594
 -0.79304574  0.69823352 -0.18993338 -0.92214037  0.95048681 -0.29283731
 -0.35349035 -0.18951463 -0.96286684 -0.41419816  0.15643625 -0.34339848
 -0.33624841 -0.65162435 -0.70586137  0.85860236  0.02813422 -0.06915387
  0.74965855  0.00530024 -0.72971088  0.07081924 -0.23492853  0.90443443
 -0.28366308 -0.46450779 -0.44232989 -0.25388645  0.73321807  0.0054919
 -0.51516351 -0.30748296  0.75604226  0.62957038  0.94975794  0.34885858
 -0.40702938  0.90737152 -0.84156143  0.45894261  0.32633624 -0.08172772
 -0.77593861  0.13735019  0.41736     0.41688651 -0.36985185 -0.28109109
 -0.34852294  0.88141927  0.71323626 -0.85517212 -0.10728862  0.07177605
  0.45966831  0.48265162  0.73024219 -0.84867743 -0.75290696 -0.41510665
 -0.15308522 -0.34131606 -0.33266248 -0.07720205 -0.07266276  0.88884502
 -0.09720415 -0.46808592  0.10138025  0.31210835  0.32689463  0.1386727
 -0.9069897  -0.73292226 -0.10874627 -0.23715039  0.94672008  0.04613864
  0.82674084  0.38057045  0.87183997 -0.652675    0.23274846 -0.16456862
  0.30660541  0.46379953  0.56988069  0.23185557 -0.68967433 -0.42423495
  0.36041995  0.8316706  -0.68799997 -0.87038411  0.59549211 -0.51597241
 -0.86793109  0.72979964  0.45689405 -0.43569467  0.7437668   0.08460342
  0.82409576  0.58309653  0.13383603  0.45496732 -0.92448899 -0.57103081
 -0.26323078  0.76292183 -0.43811695 -0.70355068  0.90184583  0.24519682
 -0.80239364 -0.33610713  0.48452256 -0.71056561 -0.91619694  0.46063139
 -0.93138784]"
"(20, 0.25, 0, 0.05, 0.15)",83.2,76.0,88.0,3.7629775444453553,1232.3408,1138.6256000000003,1348.9501,71.40005847528414,"[ 1.36438425e-01  4.11778404e-01 -5.02416480e-01 -9.35332763e-03
 -1.95861556e-01 -9.71194353e-01  4.95643586e-01  1.05377171e-01
  4.55649693e-01 -7.02936019e-02  2.08232142e-01 -6.59984853e-01
  7.56740389e-01 -3.87281619e-01  8.89166418e-01 -7.21967140e-02
  7.47196521e-01  6.71232918e-01 -3.07096198e-01 -4.39152766e-01
  7.42586148e-01  1.59315708e-01 -7.64236765e-01 -1.86856947e-02
  7.46709006e-02 -4.10156038e-01 -2.07078233e-03 -6.46780023e-01
  1.56036497e-02  1.43919523e-01  9.67573239e-01 -3.00969348e-01
  4.48242565e-01  8.05198863e-01 -7.36537679e-01 -2.56183954e-01
  7.56370204e-01  1.69676595e-01  3.95208306e-01  5.42073788e-01
  5.08177228e-01 -3.28440212e-01  9.08290493e-01 -5.50471079e-01
 -8.18895404e-01 -3.95093233e-01 -3.13599489e-01  9.27795061e-01
 -2.08269647e-01  8.94907026e-01  6.93997562e-01  9.37591663e-02
 -4.54839348e-01 -6.68619945e-01 -5.89854821e-01 -4.32049828e-01
 -8.67465825e-01  2.12737049e-01 -6.20543123e-01  8.06765888e-01
 -9.06432231e-01 -9.85171897e-01 -8.95002861e-01  1.24706439e-01
  1.95676040e-01  1.47851717e-01  4.88747428e-01 -6.39681981e-01
 -4.54673838e-01  5.71604026e-01  3.86615910e-01 -8.06009225e-01
 -6.18811997e-01  3.75387757e-01 -2.09179676e-01  8.41760740e-01
  5.03786770e-01  8.52799969e-01 -5.48199933e-04  2.04695467e-01
 -6.08472146e-01  8.86852084e-01  8.76070377e-01  2.16801386e-02
 -2.35723678e-01 -5.93317707e-01 -6.37721063e-01 -3.85108767e-01
 -9.43801024e-01 -2.54131751e-01 -4.42757591e-01 -5.73690626e-01
  3.08827436e-01 -5.40073561e-01 -7.47532294e-01  9.55297204e-02
  2.56528101e-01 -2.03852305e-01  8.03155361e-01  3.68006674e-01
  4.36276364e-01  1.12902648e-02  6.09210719e-01  6.10482859e-01
 -6.66636318e-02  1.27522750e-01  7.25245922e-01  2.62988045e-01
  3.45148502e-01 -2.05196750e-01 -8.01153268e-01  4.56034530e-01
 -7.57348888e-01 -1.62900096e-01 -4.63198066e-01 -9.68874997e-01
 -7.77572569e-01  6.13641859e-01 -2.21860733e-01  1.49217018e-01
 -5.03004529e-01 -2.81852042e-02 -7.36697364e-01 -4.11272272e-02
 -7.89435071e-01 -9.15576957e-01  1.61007352e-01  1.26374243e-01
  7.77621007e-01 -3.14243260e-01 -3.92757709e-01 -4.05365153e-01
 -9.30500549e-03  6.55151940e-01 -5.89406811e-01 -7.05111281e-01
 -4.69675059e-01  5.88324144e-01 -9.87782765e-01  5.26115207e-01
  1.79337796e-01 -2.48667739e-01  8.07991140e-01  5.64724169e-01
  9.03200888e-01  4.49670191e-01  4.48212033e-01  1.88420293e-01
 -8.85203701e-01 -4.64696978e-01 -7.72485278e-01]"
"(20, 0.25, 0, 0.15, 0.05)",109.2,102.0,117.0,5.134199061197375,1509.86393,1016.0941999999994,2983.320400000001,637.9314252409379,"[-0.90044857  0.81678761 -0.89737647 -0.65078291  0.70253911 -0.47624333
 -0.25872178  0.1825523   0.15167624  0.97764028  0.42971599  0.86285063
  0.17833227  0.24220841 -0.44197144  0.03272293  0.25042095  0.79596268
  0.59460563  0.14286804  0.06868259 -0.50745307 -0.22837353  0.87458397
 -0.63587283 -0.22843721 -0.25406794  0.3838443   0.46861625 -0.15742329
 -0.52807682  0.86476813 -0.18775617 -0.95707085 -0.48633202 -0.72575567
  0.3584573   0.81862268  0.57211753  0.0993971  -0.40822255 -0.79300394
  0.60485204  0.0574934  -0.28268068  0.94902354  0.50743213  0.31375858
 -0.24107586 -0.53440159  0.10176517 -0.24422799  0.48360521  0.40266578
  0.53674479 -0.60853861 -0.14345341  0.10348098 -0.40355411  0.12456664
  0.07000558 -0.10503244 -0.40142417  0.45751954  0.85506524 -0.35655811
 -0.49014411  0.94052839  0.73332974 -0.40590957  0.23852065  0.96790118
 -0.36003851  0.11076741  0.79015452 -0.90658506 -0.13179964 -0.33478723
  0.38014873  0.30332467 -0.84047096  0.67430198  0.18791535 -0.50616134
  0.37320328  0.64210168 -0.42724289 -0.94667839  0.51381565  0.74149891
  0.11363539  0.83091895  0.15860861 -0.12466427  0.68916114  0.96201146
 -0.60684037 -0.1286401  -0.68558687  0.14874229  0.93011998 -0.02590998
 -0.64006017  0.75517115 -0.17123917  0.68302149 -0.38432349 -0.16981324
  0.41946551  0.95748333 -0.03404956  0.28941991 -0.15039151  0.19308645
 -0.17074803  0.15366696  0.64347082 -0.3984883  -0.02816992  0.76070563
 -0.00636057 -0.59295458  0.62841508 -0.13260455  0.44437252  0.07826822
  0.83714667 -0.86820244 -0.73212315 -0.38420411 -0.10485004 -0.78384589
 -0.79134577  0.92705176 -0.83964989  0.87649653  0.43306759 -0.63939381
 -0.40790521  0.94177882 -0.42235999  0.93868031  0.11224096  0.01301039
  0.2385458   0.32033767 -0.47567388  0.78587867  0.28644722  0.95936899
 -0.91373   ]"
